Id,MSSubClass,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SalePrice,SalePrice_log,GrLivArea_log,TotalBsmtSF_log,LotArea_log,1stFlrSF_scaled,GarageArea_scaled,HouseAge,RemodAge,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Foundation_CBlock,Foundation_PConc,Foundation_Stone,Foundation_Wood,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageFinish_RFn,GarageFinish_Unf,CentralAir_Y,TotalSF,OverallQual_GrLivArea,BathPerRoom,GarageQuality,FireplacesPerSF,FrontageRatio
11,20,70.0,11200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,5,5,1965,1965,CompShg,,0.0,2.0,TA,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,4.0,SBrkr,1040,0,0,1040,1,0,1,0,3,1,2.0,5,Typ,0,,1965.0,1,384,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2008,129500,11.771443882099637,6.947937068614969,6.947937068614969,9.32375833901174,-0.25797014530661055,-0.36736294213096526,43,43,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,2080,5200,0.16666666666666666,0.3688760806916426,0.0,0.006249442014105883
13,20,72.315,12968,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,5,6,1962,1962,CompShg,,0.0,2.0,TA,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,2.0,SBrkr,912,0,0,912,1,0,1,0,2,1,2.0,4,Typ,0,,1962.0,1,352,TA,TA,Y,140,0,0,0,176,0,,,,0,9,2008,144000,11.87757552297847,6.816735880594968,6.816735880594968,9.470317173335742,-0.6791415073715265,-0.5329254545652471,46,46,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,1824,4560,0.2,0.3855421686746988,0.0,0.005575988896599583
14,20,91.0,10652,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,7,5,2006,2007,CompShg,Stone,306.0,3.0,TA,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,4.0,SBrkr,1494,0,0,1494,0,0,2,0,3,1,3.0,7,Typ,1,Gd,2006.0,3,840,TA,TA,Y,160,33,0,0,0,0,,,,0,8,2007,279500,12.540761149388421,7.3098814858247865,7.3098814858247865,9.273596821611198,1.235872029517388,1.9919028600575508,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,2988,10458,0.25,0.5618729096989966,0.00033456005352960856,0.008542194686942645
15,20,80.91,10920,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,6,5,1960,1960,CompShg,BrkFace,212.0,2.0,TA,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,2.0,SBrkr,1253,0,0,1253,1,0,1,1,2,1,2.0,5,Typ,1,Fa,1960.0,1,352,TA,TA,Y,0,213,176,0,0,0,,GdWo,,0,5,2008,157000,11.964007453736912,7.134093721192866,7.134093721192866,9.298442820197728,0.4428853243795386,-0.5329254545652471,48,48,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,2506,7518,0.3333333333333333,0.2807017543859649,0.00039888312724371757,0.0074086622104202905
16,45,51.0,6120,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,7,8,1929,2001,CompShg,,0.0,2.0,TA,TA,TA,No,Unf,0,Unf,0,832,832,GasA,4.0,FuseA,854,0,0,854,0,0,1,0,2,1,2.0,5,Typ,0,,1991.0,2,576,TA,TA,Y,48,112,0,0,0,0,,GdPrv,,0,7,2007,132000,11.790564777297387,6.75110146893676,6.725033642166843,8.71948076085107,-0.8699847808071914,0.6260121324747258,78,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,1686,5978,0.16666666666666666,0.6736842105263158,0.0,0.008331971900016338
17,20,85.22,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,6,7,1970,1970,CompShg,BrkFace,180.0,2.0,TA,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,4.0,SBrkr,1004,0,0,1004,1,0,1,0,2,1,2.0,5,Typ,1,TA,1970.0,2,480,TA,TA,Y,0,0,0,0,0,0,,,Shed,700,3,2010,149000,11.91170829631447,6.912742820493176,6.912742820493176,9.32741204356202,-0.3764245908873681,0.12932459517188022,40,40,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,2008,6024,0.16666666666666666,0.47761194029850745,0.0004977600796416127,0.007580501690090731
19,20,66.0,13695,Pave,,Reg,Lvl,AllPub,Inside,Gtl,RRAe,Norm,5,5,2004,2004,CompShg,,0.0,2.0,TA,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,4.0,SBrkr,1114,0,0,1114,1,0,1,1,3,1,3.0,6,Typ,0,,2004.0,2,576,TA,TA,Y,0,102,0,0,0,0,,,,0,6,2008,159000,11.976665770490767,7.016609683894219,7.016609683894219,9.524859098381523,-0.014480451612831029,0.6260121324747258,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,2228,5570,0.2857142857142857,0.5165919282511211,0.0,0.0048189252336448595
20,20,70.0,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,5,6,1958,1965,CompShg,,0.0,2.0,TA,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,2.0,SBrkr,1339,0,0,1339,0,0,1,0,3,1,2.0,6,Min1,0,,1958.0,1,294,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,5,2009,139000,11.842236406331555,7.200424892944957,6.937314081223682,8.93075873555827,0.725859833266904,-0.8330075083523829,51,44,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,2368,6695,0.14285714285714285,0.21940298507462686,0.0,0.009258034651501124
21,60,101.0,14215,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,8,5,2005,2006,CompShg,BrkFace,380.0,3.0,TA,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,4.0,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,3.0,9,Typ,1,Gd,2005.0,3,853,TA,TA,Y,240,154,0,0,0,0,,,,0,11,2006,325300,12.692506186542177,7.773594467360194,7.055312843339752,9.562123369834488,0.1302972040969838,2.0591626307339777,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,3534,19008,0.4,0.3588557004627682,0.0002828854314002829,0.007104670793472144
22,45,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,7,7,1930,1950,CompShg,,0.0,2.0,TA,TA,TA,No,Unf,0,Unf,0,637,637,GasA,4.0,FuseF,1108,0,0,1108,0,0,1,0,3,1,3.0,6,Typ,1,Gd,1930.0,1,280,TA,TA,N,0,0,205,0,0,0,,GdPrv,,0,6,2007,139400,11.845109950883979,7.011213987350367,6.45833828334479,8.915969311373605,-0.03422285920962396,-0.9054411075423812,77,57,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,1745,7756,0.14285714285714285,0.25247971145175835,0.000572737686139748,0.007651006711409396
23,20,75.0,9742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,8,5,2002,2002,CompShg,BrkFace,281.0,3.0,TA,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,4.0,SBrkr,1795,0,0,1795,0,0,2,0,3,1,3.0,7,Typ,1,Gd,2002.0,2,534,TA,TA,Y,171,159,0,0,0,0,,,,0,9,2008,230000,12.345838935721968,7.493317248862145,7.48324441607385,9.184304357425342,2.2262828106231667,0.4087113349047308,6,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,3572,14360,0.25,0.2973273942093541,0.000279876854184159,0.007697834342604947
